BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A0:AB:1B:D6:E6:B1, 2018-02-04 13:07:57, 2018-02-04 13:08:42,11,54, WPA2, CCMP,PSK,-88,15,0,   0.  0.  0.  0,14, D-Link_DIR-615, 
10:BE:F5:FC:C1:F3, 2018-02-04 13:07:54, 2018-02-04 13:08:49,13,54, WPA2, CCMP,PSK,-87,25,0,   0.  0.  0.  0,6, PANKAJ, 
10:BE:F5:A3:7C:9F, 2018-02-04 13:07:54, 2018-02-04 13:08:48,1,54, WPA2, CCMP,PSK,-87,15,2,   0.  0.  0.  0,6, VISHAL, 
00:1E:A6:A1:2B:60, 2018-02-04 13:07:44, 2018-02-04 13:08:48,1,54, WPA2, CCMP,PSK,-87,25,0,   0.  0.  0.  0,6, om sai, 
00:1E:A6:66:ED:20, 2018-02-04 13:07:49, 2018-02-04 13:08:44,7,54, WPA2 WPA, CCMP TKIP,PSK,-86,22,2,   0.  0.  0.  0,6, Manvik, 
2C:D0:2D:11:70:80, 2018-02-04 13:07:44, 2018-02-04 13:08:48,1,54, OPN, ,   ,-86,26,1,   0.  0.  0.  0,9, BSNL WiFi, 
2C:D0:2D:11:70:81, 2018-02-04 13:07:44, 2018-02-04 13:08:48,1,54, WPA2, CCMP, MGT,-84,22,0,   0.  0.  0.  0,12, BSNL 4G plus, 
2C:D0:2D:11:70:82, 2018-02-04 13:07:44, 2018-02-04 13:08:48,1,54, WPA2, CCMP, MGT,-84,24,0,   0.  0.  0.  0,13, BSNL Broad Fi, 
C8:3A:35:B7:82:28, 2018-02-04 13:07:54, 2018-02-04 13:08:48,7,54, WPA, CCMP,PSK,-84,26,0,   0.  0.  0.  0,8, maharana, 
00:1E:A6:79:D0:48, 2018-02-04 13:07:48, 2018-02-04 13:08:39,7,54, WPA2 WPA, CCMP TKIP,PSK,-83,20,3,   0.  0.  0.  0,15, iBall-Baton 123, 
